[CSV] C:\Users\MASL\Desktop\ir data(get)\시나리오\회대 시나리오 밝음.csv
[결과 폴더] C:\Users\MASL\Desktop\코드개선\3차 수동\predict_results\회대_20260329_232149
[바닥] 회대
[baseline] 819.522
전체 window 수: 115
바닥: 7개 (6.1%)
액체: 108개 (93.9%)

[상세 window]
[001]    0-  15 | final=  바닥 | state=      FLOOR | pL= 90.5 | pF=  9.5 | anch_ofs= 33.01/327.80 | chg= 33.01 | grad=163.90 | edge=0.20 | anchor=819.52
[059]  290- 305 | final=  액체 | state=LIQUID_HOLD | pL= 84.1 | pF= 15.9 | anch_ofs= 13.30/ 55.00 | chg= 13.99 | grad=12.48 | edge=0.53 | anchor=822.56
[060]  295- 310 | final=  액체 | state=LIQUID_HOLD | pL= 88.1 | pF= 11.9 | anch_ofs=  4.22/  4.80 | chg=  6.93 | grad= 4.24 | edge=0.20 | anchor=822.56
[061]  300- 315 | final=  액체 | state=LIQUID_HOLD | pL= 88.4 | pF= 11.6 | anch_ofs=  4.60/  4.80 | chg=  7.63 | grad= 0.16 | edge=0.00 | anchor=822.56
[062]  305- 320 | final=  액체 | state=LIQUID_HOLD | pL= 75.5 | pF= 24.5 | anch_ofs=  4.32/  4.80 | chg=  7.35 | grad= 0.14 | edge=0.00 | anchor=822.56
[063]  310- 325 | final=  액체 | state=LIQUID_HOLD | pL= 68.2 | pF= 31.8 | anch_ofs=  3.95/  4.56 | chg=  6.98 | grad= 0.24 | edge=0.00 | anchor=822.56
[064]  315- 330 | final=  액체 | state=LIQUID_HOLD | pL= 77.4 | pF= 22.6 | anch_ofs=  3.85/  4.36 | chg=  6.89 | grad= 0.32 | edge=0.00 | anchor=822.56
[065]  320- 335 | final=  액체 | state=LIQUID_HOLD | pL= 53.0 | pF= 47.0 | anch_ofs=  5.80/ 19.08 | chg=  8.83 | grad= 6.72 | edge=0.27 | anchor=822.56
[066]  325- 340 | final=  액체 | state=LIQUID_HOLD | pL= 63.8 | pF= 36.2 | anch_ofs= 18.91/ 56.52 | chg= 21.95 | grad= 8.64 | edge=0.60 | anchor=822.56
[067]  330- 345 | final=  액체 | state=LIQUID_HOLD | pL= 74.7 | pF= 25.3 | anch_ofs= 38.20/ 62.84 | chg= 41.24 | grad= 8.64 | edge=0.80 | anchor=822.56
[068]  335- 350 | final=  액체 | state=LIQUID_HOLD | pL= 82.0 | pF= 18.0 | anch_ofs= 55.81/ 62.84 | chg= 58.85 | grad= 8.80 | edge=0.47 | anchor=822.56
[069]  340- 355 | final=  액체 | state=LIQUID_HOLD | pL= 90.9 | pF=  9.1 | anch_ofs= 62.04/ 62.84 | chg= 65.07 | grad= 1.80 | edge=0.13 | anchor=822.56
